frame,n_ai,n_man,count_diff,tp,fp,fn,precision,recall,f1,mean_iou
1.1_1sec-frame0,179,196,-17,160,19,36,0.8938547486033519,0.8163265306122449,0.8533333333333333,0.9712048979933432
10.1.A_1sec-frame0,291,308,-17,259,32,49,0.8900343642611683,0.8409090909090909,0.8647746243739567,0.9602037822631284
100.1.A_1sec-frame0,657,633,24,551,106,82,0.8386605783866058,0.8704581358609794,0.8542635658914728,0.973860496437308
11.1.A_1sec-frame0,268,291,-23,222,46,69,0.8283582089552238,0.7628865979381443,0.7942754919499105,0.9623272946377088
12.1.A_1sec-frame0,69,100,-31,65,4,35,0.9420289855072463,0.65,0.7692307692307692,0.9828109347221632
13.1.A_1sec-frame0,57,81,-24,53,4,28,0.9298245614035088,0.654320987654321,0.7681159420289856,0.9688246198099869
14.1.A_1sec-frame0,161,177,-16,145,16,32,0.9006211180124224,0.8192090395480226,0.8579881656804734,0.9615456399982739
15.1.A_1sec-frame0,549,556,-7,481,68,75,0.8761384335154827,0.8651079136690647,0.8705882352941177,0.973457203641786
16.1.A_1sec-frame0,217,242,-25,199,18,43,0.9170506912442397,0.8223140495867769,0.8671023965141612,0.977237165502529
17.1.A_1sec-frame0,1169,1031,138,849,320,182,0.7262617621899059,0.8234723569350145,0.7718181818181817,0.9760337339189707
18.1.A_1sec-frame0,71,84,-13,60,11,24,0.8450704225352113,0.7142857142857143,0.7741935483870968,0.9458518256826907
19.1.A_1sec-frame0,429,430,-1,364,65,66,0.8484848484848485,0.8465116279069768,0.8474970896391153,0.9636569687541127
2.1.A_1sec-frame0,293,316,-23,264,29,52,0.9010238907849829,0.8354430379746836,0.8669950738916256,0.981413422164068
20.1.A_1sec-frame0,393,405,-12,337,56,68,0.8575063613231552,0.8320987654320988,0.844611528822055,0.9801359276711639
21.1.A_1sec-frame0,654,646,8,575,79,71,0.8792048929663608,0.8900928792569659,0.8846153846153846,0.9758626279870101
22.1.A_1sec-frame0,345,395,-50,310,35,85,0.8985507246376812,0.7848101265822784,0.8378378378378378,0.9805542633223163
23.1.A_1sec-frame0,441,432,9,393,48,39,0.891156462585034,0.9097222222222222,0.9003436426116839,0.976031062891215
24.1.A_1sec-frame0,632,642,-10,552,80,90,0.8734177215189873,0.8598130841121495,0.8665620094191523,0.9879790818356827
25.1.A_1sec-frame0,1036,939,97,812,224,127,0.7837837837837838,0.8647497337593184,0.8222784810126582,0.9777559760612031
26.1.A_1sec-frame0,397,401,-4,348,49,53,0.8765743073047859,0.8678304239401496,0.8721804511278195,0.9794217622418707
27.1.A_1sec-frame0,549,560,-11,482,67,78,0.8779599271402551,0.8607142857142858,0.8692515779981966,0.9634783481870957
28.1.A_1sec-frame0,152,156,-4,124,28,32,0.8157894736842105,0.7948717948717948,0.8051948051948051,0.9642076406575831
29.1.A_1sec-frame0,370,403,-33,333,37,70,0.9,0.826302729528536,0.8615782664941785,0.9703468043012176
3.1.A_1sec-frame0,854,814,40,664,190,150,0.7775175644028103,0.8157248157248157,0.7961630695443646,0.9589056955133247
30.1.A_1sec-frame0,30,36,-6,25,5,11,0.8333333333333334,0.6944444444444444,0.7575757575757577,0.9789546959384239
31.1.A_1sec-frame0,664,654,10,536,128,118,0.8072289156626506,0.8195718654434251,0.8133535660091047,0.9748922311169664
32.1.A_1sec-frame0,565,550,15,490,75,60,0.8672566371681416,0.8909090909090909,0.8789237668161435,0.9670247137818773
33.1.A_1sec-frame0,576,572,4,471,105,101,0.8177083333333334,0.8234265734265734,0.8205574912891986,0.9421238530518985
34.1.A_1sec-frame0,236,281,-45,200,36,81,0.847457627118644,0.7117437722419929,0.7736943907156674,0.9529143159289749
35.1.A_1sec-frame0,317,362,-45,284,33,78,0.8958990536277602,0.7845303867403315,0.8365243004418262,0.9636480450593169
36.1.A_1sec-frame0,270,266,4,233,37,33,0.8629629629629629,0.8759398496240601,0.8694029850746269,0.9641697356239877
37.1.A_1sec-frame0,442,423,19,355,87,68,0.8031674208144797,0.8392434988179669,0.8208092485549133,0.9579606295115906
38.1.A_1sec-frame0,271,280,-9,237,34,43,0.8745387453874539,0.8464285714285714,0.8602540834845736,0.9745849161150024
39.1.A_1sec-frame0,70,80,-10,66,4,14,0.9428571428571428,0.825,0.88,0.9443115904598236
4.1.A_1sec-frame0,717,701,16,547,170,154,0.7629009762900977,0.7803138373751783,0.7715091678420312,0.959318414887634
40.1.A_1sec-frame0,401,401,0,356,45,45,0.8877805486284289,0.8877805486284289,0.8877805486284289,0.9686597469763066
