epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7964,4.62374,3.73478,0.00716,0,0,0,0,4.74647,3.62683,0.00837,8e-05,8e-05,8e-05
2,17.487,4.45287,3.69436,0.00618,0,0,0,0,4.25106,3.58525,0.00615,0.000176436,0.000176436,0.000176436
3,20.2179,3.77825,3.53171,0.00428,0,0,0,0,5.0535,3.93458,0.0097,0.000268912,0.000268912,0.000268912
4,22.8744,3.29246,3.33002,0.00324,0,0,0,0,4.94504,3.94967,0.00889,0.000357428,0.000357428,0.000357428
5,25.1799,2.92163,3.20371,0.00275,0,0,0,0,2.95386,3.33046,0.00248,0.000441984,0.000441984,0.000441984
6,27.8719,3.18706,3.0571,0.0028,0,0,0,0,2.97397,3.23147,0.00238,0.00052258,0.00052258,0.00052258
7,30.0092,2.94176,2.83613,0.00243,0,0,0,0,3.16377,3.07726,0.00245,0.000599216,0.000599216,0.000599216
8,32.4456,2.97341,2.6437,0.00233,0,0,0,0,2.9811,2.9026,0.00229,0.000671892,0.000671892,0.000671892
9,34.5543,2.91088,2.48746,0.00232,0.034,0.02966,0.0232,0.00828,2.85366,2.71677,0.00224,0.000740608,0.000740608,0.000740608
10,36.7988,2.99115,2.2416,0.00231,0.16117,0.14061,0.14914,0.04618,2.81804,2.6203,0.00222,0.000805364,0.000805364,0.000805364
11,38.7582,2.72959,2.01156,0.00206,0.21983,0.1918,0.21174,0.06818,2.80968,2.47538,0.00222,0.00086616,0.00086616,0.00086616
12,40.9081,2.70047,1.91979,0.00201,0.24783,0.21623,0.23768,0.07566,2.90771,2.322,0.00233,0.000922996,0.000922996,0.000922996
13,43.0923,2.72209,1.71998,0.00198,0.274,0.23906,0.26452,0.08954,2.87512,2.18628,0.00231,0.000975872,0.000975872,0.000975872
14,45.2321,2.67948,1.55273,0.00195,0.3495,0.30493,0.33859,0.12531,2.64948,1.92386,0.00212,0.00102479,0.00102479,0.00102479
15,47.2396,2.74462,1.44208,0.00194,0.69637,0.33096,0.39862,0.1597,2.50655,1.6586,0.00201,0.00106974,0.00106974,0.00106974
16,49.2251,2.63498,1.31895,0.00181,0.70542,0.33986,0.41315,0.16428,2.53103,1.53781,0.00203,0.00111074,0.00111074,0.00111074
17,51.2797,2.6355,1.2096,0.00181,0.69248,0.37662,0.44182,0.17619,2.50255,1.31599,0.00203,0.00114778,0.00114778,0.00114778
18,53.4938,2.60685,1.14269,0.00181,0.65652,0.38188,0.43437,0.16435,2.56252,1.23374,0.00215,0.00118085,0.00118085,0.00118085
19,55.2619,2.73286,1.17951,0.00195,0.62952,0.38374,0.42647,0.15574,2.62421,1.17148,0.00224,0.00120997,0.00120997,0.00120997
20,57.3925,2.5303,1.06979,0.0018,0.67522,0.4438,0.49693,0.20232,2.40269,1.06799,0.00192,0.00123512,0.00123512,0.00123512
21,59.6337,2.72352,1.10076,0.00186,0.67138,0.45281,0.50763,0.19243,2.50285,1.08299,0.00191,0.001208,0.001208,0.001208
22,61.9178,2.68197,1.07446,0.00179,0.65985,0.45645,0.50384,0.18247,2.56087,1.10223,0.00193,0.0011684,0.0011684,0.0011684
23,64.4504,2.55625,1.03001,0.00171,0.67231,0.46416,0.51699,0.20314,2.41667,1.07917,0.00184,0.0011288,0.0011288,0.0011288
24,67.2177,2.54259,1.02182,0.00172,0.67716,0.46357,0.52252,0.22259,2.26388,1.03434,0.00176,0.0010892,0.0010892,0.0010892
25,69.8858,2.52652,0.99271,0.00166,0.68691,0.47375,0.53475,0.23695,2.20165,1.01325,0.00167,0.0010496,0.0010496,0.0010496
26,72.079,2.46688,0.97648,0.00166,0.68411,0.47506,0.53472,0.22462,2.28549,1.02094,0.00171,0.00101,0.00101,0.00101
27,74.2867,2.48644,0.97419,0.00168,0.68108,0.46767,0.5303,0.21467,2.35675,1.0338,0.00175,0.0009704,0.0009704,0.0009704
28,76.3915,2.48719,0.96886,0.0017,0.71453,0.49033,0.55908,0.24979,2.17653,0.94308,0.00163,0.0009308,0.0009308,0.0009308
29,78.4854,2.43046,0.94886,0.0016,0.72043,0.49338,0.56377,0.25043,2.1804,0.93747,0.00166,0.0008912,0.0008912,0.0008912
30,80.5355,2.33065,0.94025,0.00151,0.72297,0.49586,0.56663,0.24536,2.2051,0.94069,0.0017,0.0008516,0.0008516,0.0008516
31,82.6397,2.42044,0.93613,0.00159,0.73029,0.50051,0.5744,0.24908,2.20092,0.92864,0.00171,0.000812,0.000812,0.000812
32,84.5816,2.48075,0.95599,0.00159,0.75021,0.51432,0.59511,0.28543,2.07596,0.88236,0.00156,0.0007724,0.0007724,0.0007724
33,86.2994,2.32681,0.963,0.00159,0.76152,0.51927,0.60522,0.29157,2.06761,0.87859,0.00155,0.0007328,0.0007328,0.0007328
34,88.6579,2.45412,0.94698,0.00162,0.7656,0.51961,0.6083,0.29226,2.07301,0.87213,0.00155,0.0006932,0.0006932,0.0006932
35,91.0359,2.41044,0.92929,0.00161,0.76704,0.51985,0.60744,0.2919,2.07521,0.86935,0.00156,0.0006536,0.0006536,0.0006536
36,93.0255,2.32283,0.92131,0.00154,0.77274,0.52203,0.61133,0.29044,2.08837,0.87906,0.00157,0.000614,0.000614,0.000614
37,95.1536,2.49887,0.9465,0.00162,0.77697,0.52508,0.61548,0.28886,2.10203,0.88076,0.00157,0.0005744,0.0005744,0.0005744
38,97.2813,2.37083,0.93662,0.00155,0.77844,0.52571,0.61737,0.28573,2.11577,0.89203,0.00156,0.0005348,0.0005348,0.0005348
39,99.3454,2.35653,0.91534,0.00152,0.77923,0.52581,0.61775,0.28494,2.12289,0.8981,0.00156,0.0004952,0.0004952,0.0004952
40,101.519,2.33602,0.93808,0.00154,0.78115,0.52843,0.61941,0.30068,2.05435,0.88126,0.00151,0.0004556,0.0004556,0.0004556
41,106.498,2.48295,1.22295,0.00168,0.77985,0.52872,0.62006,0.30426,2.03625,0.89746,0.0015,0.000416,0.000416,0.000416
42,108.425,2.39967,1.1746,0.00168,0.78589,0.5309,0.62376,0.30688,2.02612,0.90243,0.00149,0.0003764,0.0003764,0.0003764
43,110.314,2.35667,1.1358,0.0016,0.78068,0.53159,0.62357,0.30897,2.01915,0.91348,0.00149,0.0003368,0.0003368,0.0003368
44,112.288,2.30636,1.07518,0.0016,0.77878,0.53119,0.62235,0.30575,2.02541,0.92434,0.0015,0.0002972,0.0002972,0.0002972
45,113.968,2.24818,1.02993,0.00163,0.77905,0.52974,0.62233,0.30457,2.02549,0.92637,0.0015,0.0002576,0.0002576,0.0002576
46,115.522,2.16221,1.00604,0.00155,0.77997,0.53075,0.62294,0.3034,2.03428,0.93518,0.0015,0.000218,0.000218,0.000218
47,117.041,2.13829,1.00148,0.00155,0.77806,0.52988,0.62168,0.30123,2.03689,0.94295,0.0015,0.0001784,0.0001784,0.0001784
48,118.658,2.21408,1.01212,0.0016,0.78012,0.52882,0.62133,0.30078,2.02881,0.95696,0.0015,0.0001388,0.0001388,0.0001388
49,120.236,2.21037,1.00561,0.00159,0.77949,0.53046,0.62114,0.30175,2.02342,0.96313,0.0015,9.92e-05,9.92e-05,9.92e-05
50,121.81,2.17442,0.98447,0.00154,0.78022,0.53119,0.62112,0.30238,2.01785,0.96897,0.00149,5.96e-05,5.96e-05,5.96e-05
