epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8171,4.57016,3.75755,0.00702,0,0,0,0,4.55563,3.59228,0.00827,8e-05,8e-05,8e-05
2,40.9465,4.55252,3.72296,0.00636,0,0,0,0,4.81331,3.63867,0.00943,0.000176436,0.000176436,0.000176436
3,43.1084,3.6347,3.52364,0.00399,0,0,0,0,4.99305,3.85034,0.01064,0.000268912,0.000268912,0.000268912
4,45.0621,3.29157,3.31129,0.00319,0,0,0,0,3.92882,3.54128,0.00549,0.000357428,0.000357428,0.000357428
5,46.8569,2.95833,3.17192,0.00272,0,0,0,0,2.80575,3.29135,0.00238,0.000441984,0.000441984,0.000441984
6,48.9131,3.09903,3.02362,0.00267,0,0,0,0,2.75156,3.17752,0.00225,0.00052258,0.00052258,0.00052258
7,50.906,2.95125,2.79854,0.0024,0,0,0,0,2.99137,2.99691,0.0024,0.000599216,0.000599216,0.000599216
8,52.7515,2.89673,2.56624,0.0022,0,0,0,0,2.87253,2.82968,0.00231,0.000671892,0.000671892,0.000671892
9,54.8494,2.8973,2.40743,0.00226,0.10167,0.06723,0.08176,0.02536,2.81772,2.6199,0.00228,0.000740608,0.000740608,0.000740608
10,57.0836,3.15499,2.21477,0.00238,0.2715,0.17954,0.21941,0.06227,2.9271,2.49396,0.00236,0.000805364,0.000805364,0.000805364
11,58.8073,2.72846,2.0097,0.00203,0.3145,0.20798,0.24603,0.07418,2.92725,2.31467,0.00235,0.00086616,0.00086616,0.00086616
12,61.3402,2.77703,1.87243,0.00204,0.39967,0.2643,0.31336,0.10276,2.87788,2.10225,0.0023,0.000922996,0.000922996,0.000922996
13,63.1243,2.69985,1.64125,0.00194,0.45817,0.30299,0.36938,0.12293,2.8235,1.98187,0.00226,0.000975872,0.000975872,0.000975872
14,65.0013,2.70881,1.52061,0.00197,0.549,0.36306,0.44227,0.14997,2.78117,1.72492,0.00223,0.00102479,0.00102479,0.00102479
15,67.3264,2.72538,1.41157,0.00196,0.63133,0.4175,0.52277,0.20584,2.52187,1.44046,0.00201,0.00106974,0.00106974,0.00106974
16,69.6458,2.67026,1.31002,0.00188,0.69349,0.42294,0.53248,0.20429,2.5726,1.33624,0.00205,0.00111074,0.00111074,0.00111074
17,71.9432,2.71751,1.26532,0.00189,0.70265,0.42015,0.53155,0.20151,2.58906,1.18791,0.00207,0.00114778,0.00114778,0.00114778
18,74.3172,2.73191,1.16993,0.00187,0.70772,0.43426,0.54443,0.21052,2.53592,1.11453,0.00204,0.00118085,0.00118085,0.00118085
19,76.7671,2.73978,1.15613,0.00183,0.71436,0.43966,0.55201,0.22304,2.45034,1.06408,0.002,0.00120997,0.00120997,0.00120997
20,79.2474,2.56316,1.08239,0.00177,0.71072,0.438,0.54946,0.22729,2.33398,1.05621,0.00195,0.00123512,0.00123512,0.00123512
21,81.879,2.94821,1.15961,0.0021,0.70612,0.43591,0.54743,0.22781,2.32384,1.06866,0.00194,0.001208,0.001208,0.001208
22,84.0899,2.82452,1.12114,0.00199,0.71777,0.44351,0.5597,0.23932,2.28898,1.06917,0.00186,0.0011684,0.0011684,0.0011684
23,86.2531,2.66063,1.06596,0.00182,0.72711,0.44913,0.56904,0.23694,2.30802,1.10064,0.00183,0.0011288,0.0011288,0.0011288
24,88.7147,2.68873,1.06289,0.00179,0.68856,0.42764,0.52048,0.18717,2.57151,1.2244,0.00199,0.0010892,0.0010892,0.0010892
25,90.764,2.77744,1.10634,0.00182,0.69867,0.43418,0.52812,0.19,2.58106,1.22596,0.002,0.0010496,0.0010496,0.0010496
26,92.9359,2.63333,1.06877,0.00174,0.72556,0.44936,0.55378,0.21674,2.43467,1.14635,0.0019,0.00101,0.00101,0.00101
27,94.9583,2.63242,1.02701,0.00176,0.7461,0.46038,0.57327,0.24036,2.29956,1.08544,0.00181,0.0009704,0.0009704,0.0009704
28,96.8393,2.59004,0.99437,0.00177,0.76197,0.46853,0.58866,0.27024,2.1197,0.9828,0.0017,0.0009308,0.0009308,0.0009308
