fold,strategy,train_src,val_src,n_train,n_val,train_time_s,precision,recall,mAP50,mAP50_95,best_epoch
1,A,AI,Manual,80,20,140.5,0.78589,0.5309,0.62376,0.30688,42
1,B,Manual,Manual,80,20,130.4,0.78835,0.5309,0.63218,0.29987,39
2,A,AI,Manual,80,20,127.4,0.79454,0.52103,0.63306,0.29549,44
2,B,Manual,Manual,80,20,133.0,0.78288,0.52238,0.63922,0.28883,39
3,A,AI,Manual,80,20,129.4,0.78916,0.47653,0.61121,0.28737,43
3,B,Manual,Manual,80,20,131.1,0.78732,0.47782,0.61013,0.27103,42
4,A,AI,Manual,80,20,128.1,0.8034,0.54911,0.65566,0.30876,46
4,B,Manual,Manual,80,20,131.1,0.79753,0.54979,0.66039,0.29951,39
5,A,AI,Manual,80,20,126.4,0.81764,0.44406,0.59779,0.29657,43
5,B,Manual,Manual,80,20,126.8,0.81453,0.44385,0.59839,0.27078,43
